IEEE Std 1003.1-2008 utilities Name 	Category 	Description 	First appeared
admin 	SCCS 	Create and administer SCCS files 	PWB UNIX
alias 	Misc 	Define or display aliases 	
ar 	Misc 	Create and maintain library archives 	Version 1 AT&T UNIX
asa 	Text processing 	Interpret carriage-control characters 	System V
at 	Process management 	Execute commands at a later time 	Version 7 AT&T UNIX
awk 	Text processing 	Pattern scanning and processing language 	Version 7 AT&T UNIX
basename 	Filesystem 	Return non-directory portion of a pathname; see also dirname 	Version 7 AT&T UNIX
batch 	Process management 	Schedule commands to be executed in a batch queue 	
bc 	Misc 	Arbitrary-precision arithmetic language 	Version 6 AT&T UNIX
bg 	Process management 	Run jobs in the background 	
cc/c99 	C programming 	Compile standard C programs 	IEEE Std 1003.1-2001
cal 	Misc 	Print a calendar 	Version 5 AT&T UNIX
cat 	Filesystem 	Concatenate and print files 	Version 1 AT&T UNIX
cd 	Filesystem 	Change the working directory 	Version 6 AT&T UNIX
cflow 	C programming 	Generate a C-language call graph 	System V
chgrp 	Filesystem 	Change the file group ownership 	PWB UNIX
chmod 	Filesystem 	Change the file modes/attributes/permissions 	Version 1 AT&T UNIX
chown 	Filesystem 	Change the file ownership 	Version 1 AT&T UNIX
cksum 	Filesystem 	Write file checksums and sizes 	4.4BSD
cmp 	Filesystem 	Compare two files; see also diff 	Version 1 AT&T UNIX
comm 	Text processing 	Select or reject lines common to two files 	Version 4 AT&T UNIX
command 	Shell programming 	Execute a simple command 	
compress 	Filesystem 	Compress data 	4.3BSD
cp 	Filesystem 	Copy files 	Version 1 AT&T UNIX
crontab 	Misc 	Schedule periodic background work 	System V
csplit 	Text processing 	Split files based on context 	PWB UNIX
ctags 	C programming 	Create a tags file 	3BSD
cut 	Text processing 	Cut out selected fields of each line of a file 	System III
cxref 	C programming 	Generate a C-language program cross-reference table 	System V
date 	Misc 	Display the date and time 	Version 1 AT&T UNIX
dd 	Filesystem 	Convert and copy a file 	Version 5 AT&T UNIX
delta 	SCCS 	Make a delta (change) to an SCCS file 	PWB UNIX
df 	Filesystem 	Report free disk space 	Version 1 AT&T UNIX
diff 	Text processing 	Compare two files; see also cmp 	Version 5 AT&T UNIX
dirname 	Filesystem 	Return the directory portion of a pathname; see also basename 	System III
du 	Filesystem 	Estimate file space usage 	Version 1 AT&T UNIX
echo 	Shell programming 	Write arguments to standard output 	Version 2 AT&T UNIX
ed 	Text processing 	The standard text editor 	Version 1 AT&T UNIX
env 	Misc 	Set the environment for command invocation 	System III
ex 	Text processing 	Text editor 	1BSD
expand 	Text processing 	Convert tabs to spaces 	3BSD
expr 	Shell programming 	Evaluate arguments as an expression 	Version 7 AT&T UNIX
false 	Shell programming 	Return false value 	Version 7 AT&T UNIX
fc 	Misc 	Process the command history list 	
fg 	Process management 	Run jobs in the foreground 	
file 	Filesystem 	Determine file type 	Version 4 AT&T UNIX
find 	Filesystem 	Find files 	Version 1 AT&T UNIX
fold 	Text processing 	Filter for folding lines 	1BSD
fort77 	FORTRAN77 programming 	FORTRAN compiler 	XPG4
fuser 	Process management 	List process IDs of all processes that have one or more files open 	System V
gencat 	Misc 	Generate a formatted message catalog 	
get 	SCCS 	Get a version of an SCCS file 	PWB UNIX
